mergeout,doc,corpus,dir.path,child.age,age_check,type,,,,,,,,
Brent_v2,Brent/v2-1508,Brent,Brent/v2,1;3.08,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-0913,Brent,Brent/w1,0;9.13,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-1005,Brent,Brent/w1,0;10.05,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-1011,Brent,Brent/w1,0;10.11,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-1025,Brent,Brent/w1,0;10.25,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-1123,Brent,Brent/w1,0;11.23,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-1206,Brent,Brent/w1,1;0.06,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-1220,Brent,Brent/w1,1;0.20,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-1303,Brent,Brent/w1,1;1.03,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-1417,Brent,Brent/w1,1;2.17,yes,merge_pnt_age,,,,,,,,
Brent_w1,Brent/w1-1428,Brent,Brent/w1,1;2.28,yes,merge_pnt_age,,,,,,,,
Brent_w3,Brent/w3-1107,Brent,Brent/w3,0;11.07,yes,merge_pnt_age,,,,,,,,
Brent_w3,Brent/w3-1122,Brent,Brent/w3,0;11.22,yes,merge_pnt_age,,,,,,,,
Brent_w3,Brent/w3-1208,Brent,Brent/w3,1;0.08,yes,merge_pnt_age,,,,,,,,
Brent_w3,Brent/w3-1218,Brent,Brent/w3,1;0.18,yes,merge_pnt_age,,,,,,,,
Brent_w3,Brent/w3-1301,Brent,Brent/w3,1;1.01,yes,merge_pnt_age,,,,,,,,
Brent_w3,Brent/w3-1316,Brent,Brent/w3,1;1.16,yes,merge_pnt_age,,,,,,,,
Brent_w3,Brent/w3-1421,Brent,Brent/w3,1;2.21,yes,merge_pnt_age,,,,,,,,
Brent_w3,Brent/w3-1512,Brent,Brent/w3,1;3.12,yes,merge_pnt_age,,,,,,,,
Demetras1_tre,Demetras1/tre01,Demetras1,Demetras1,2;0.27,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre02,Demetras1,Demetras1,2;0.28,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre03,Demetras1,Demetras1,2;0.29,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre04,Demetras1,Demetras1,2;1.05,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre05,Demetras1,Demetras1,2;6.04,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre06,Demetras1,Demetras1,2;6.05,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre07,Demetras1,Demetras1,2;6.07,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre08,Demetras1,Demetras1,2;6.12,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre09,Demetras1,Demetras1,2;8.03,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre10,Demetras1,Demetras1,2;8.05,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre11,Demetras1,Demetras1,2;8.07,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre12,Demetras1,Demetras1,2;8.10,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre13,Demetras1,Demetras1,2;10.04,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre14,Demetras1,Demetras1,2;11.11,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre16,Demetras1,Demetras1,2;11.14,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre17,Demetras1,Demetras1,3;0.07,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre18,Demetras1,Demetras1,3;0.08,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre19,Demetras1,Demetras1,3;0.09,NA,single_child,,,,,,,,
Demetras1_tre,Demetras1/tre20,Demetras1,Demetras1,3;1.17,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat02,Demetras2,Demetras2/Jimmy,2;2.15,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat03,Demetras2,Demetras2/Jimmy,2;2.20,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat04,Demetras2,Demetras2/Jimmy,2;2.24,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat06,Demetras2,Demetras2/Jimmy,2;4.28,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat07,Demetras2,Demetras2/Jimmy,2;4.29,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat08,Demetras2,Demetras2/Jimmy,2;4.30,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat09,Demetras2,Demetras2/Jimmy,2;6.29,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat10,Demetras2,Demetras2/Jimmy,2;7.02,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat11,Demetras2,Demetras2/Jimmy,2;7.04,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat12,Demetras2,Demetras2/Jimmy,2;7.05,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat14,Demetras2,Demetras2/Jimmy,2;9.16,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat15,Demetras2,Demetras2/Jimmy,2;9.22,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_fat16,Demetras2,Demetras2/Jimmy,2;9.23,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_mot02,Demetras2,Demetras2/Jimmy,2;2.15,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_mot03,Demetras2,Demetras2/Jimmy,2;2.20,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_mot04,Demetras2,Demetras2/Jimmy,2;2.24,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_mot07,Demetras2,Demetras2/Jimmy,2;4.29,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_mot08,Demetras2,Demetras2/Jimmy,2;4.30,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_mot10,Demetras2,Demetras2/Jimmy,2;7.02,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_mot11,Demetras2,Demetras2/Jimmy,2;7.04,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_mot12,Demetras2,Demetras2/Jimmy,2;7.05,NA,single_child,,,,,,,,
Demetras2_j,Demetras2/j_mot14,Demetras2,Demetras2/Jimmy,2;9.16,NA,single_child,,,,,,,,
