#Version 2.1 - Updated by Alex Cristia 2015-08-31
agey     .eGi -w
bounds          .bQndz -w
bout           .bQt -w
bow            .bo -w
bowed         .bQd -w
bowel            .bQl -w
bowels           .bQlz -w
bowing           .bQIN -w
bowl           .bol -w
bowling           .bolIN -w
bowls          .bolz -w
bows           .boz -w
bowwow       .bQwQ -w
bowwow@o      .bQwQ -w
box            .baks -w
boxes          .baksIz -w
boy            .b7 -w
boy's          .b7z -w
boys           .b7z -w
boyser        .b7zR -w
boyz            .b7z -w
bra               .bra -w
bracelet        .bresl6t -w
bradley            .br&dli -w
brady            .bredi -w
braid            .bred -w
braiding       .bredIN -w
brailey            .breli -w
brailey's            .breliz -w
brain          .bren -w
bran           .br&n -w
branch        .br&nc -w
branches      .br&nc6z -w
brand           .br&nd -w
brandon           .br&nd~ -w
brandnew      .br&nd -w .nu -w
brass            .br&s -w
brat            .br&t -w
brave           .brev -w
bray             .bre -w
bread          .brEd -w
break          .brek -w
breakable      .brek6bL -w
breakfast      .brEkf6st -w
breaking        .brekIN -w
breaks           .breks -w
breast            .brEst -w
breath             .brET -w
breathe           .briD -w
breather         .briDR -w
breathing      .briDIN -w
breeze         .briz -w
brenda         .brEnd6 -w
brenda's       .brEnd6z -w
brendan        .brEnd~ -w
brent         .brEnt -w
brian              .br9N -w
bryan              .br9N -w
brick          .brIk -w
bricks         .brIks -w
bridge         .brIG -w
bridges        .brIGIz -w
briefcase        .brifkes -w
bright         .br9t -w
brighter        .br9tR -w
brightness     .br9tnEs -w
brigitte          .brIGit -w
brigitte's         .brIGits -w
brilliant           .brIly~t -w
bring          .brIN -w
bringing       .brININ -w
brings         .brINz -w
brisco         .brIsko -w
brisco's       .brIskoz -w
bristle        .brIsL -w
bristles       .brIsLz -w
britches       .brItc6z -w
brittany        .brItni -w
brittney         .brItni -w
brittney's        .brItniz -w
broad             .brOd -w
broader           .brOdR -w
broccoli          .brOc6li -w
brocovich      .brak6vIc -w
broke          .brok -w
broken         .brok~ -w
brokenhearted     .brok~h#t6d -w
brook       .brUk -w
brooklyn      .brUkl~ -w
broom          .brum -w
brooms          .brumz -w
broth             .braT -w
brother        .brADR -w
brothers         .brADRz -w
brought        .brOt -w
brown           .brQn -w
brownies        .brQniz -w
browns         .brQnz -w
brows          .brQz -w
brr          .bR -w
bruce      .brus -w
bruce's      .brusIz -w
bruise     .bruz -w
bruised    .bruzd -w
brunch       .brAnc -w
brush          .brAS -w
brusha        .brAS6 -w
brushed        .brASt -w
brushes        .brASIz -w
brushing       .brASIN -w
bryson       .br9s~ -w
bub              .bAb -w
bubbilicious    .bAbIlIS6s -w
bubble          .bAbL -w
bubbler         .bAbLR -w
bubbles        .bAbLz -w
bubblicious     .bAblIS6s -w
bubbly          .bAbLi -w
buck            .bAk -w
buckaroo       .bAk6ru -w
bucket            .bAkIt -w
buckets        .bAkIts -w
buckle           .bAkL -w
buckled          .bAkLd -w
buckles          .bAkLz -w
buckling       .bAklIN -w
bucks          .bAks -w
bucky          .bAki -w
bud            .bAd -w
buddies       .bAdiz -w
buddy          .bAdi -w
buds            .bAdz -w
bug            .bAg -w
bug's         .bAgz -w
bugged       .bAgd -w
buggie         .bAgi -w
bugging      .bAgIN -w
bugs           .bAgz -w
buh            .bA -w
build          .bIld -w
builded       .bIld6d -w
building       .bIldIN -w
buildings      .bIldINz -w
builds         .bIldz -w
built          .bIlt -w
bull            .bUl -w
bullfrog       .bUlfrag -w
bully           .bUli -w
bullying       .bUliIN -w
bullys          .bUliz -w
bum             .bAm -w
bumblebee     .bAmbLbi -w
bumblebees     .bAmbLbiz -w
bumbling       .bAmbLIN -w
bummed        .bAmd -w
bummer         .bAmR -w
bummie         .bAmi -w
bummie's      .bAmiz -w
bumming       .bAmIN -w
bump         .bAmp -w
bumped     .bAmpt -w
bumper      .bAmpR -w
bumping     .bAmpIN -w
bumpity      .bAmpIti -w
bumps       .bAmps -w
bumpy       .bAmpi -w
bums         .bAmz -w
bun             .bAn -w
bunch          .bAnc -w
bundle          .bAndL -w
bungalow      .bAng6lo -w
bunnies        .bAniz -w
